open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1765584000000,90229.70,90229.70,90194.00,90194.10,33.180,1765584059999,2993362.44990,1164,6.873,620097.72900,0
1765584060000,90194.00,90194.00,90162.00,90163.30,66.395,1765584119999,5987214.60780,1902,18.376,1656999.98460,0
1765584120000,90163.30,90289.10,90163.20,90288.30,77.158,1765584179999,6962041.21830,2412,58.312,5261831.77310,0
1765584180000,90288.20,90305.60,90277.60,90277.60,68.295,1765584239999,6166903.00400,1463,27.404,2474484.85700,0
1765584240000,90277.60,90373.70,90266.90,90363.70,304.985,1765584299999,27551930.18730,4372,244.820,22116184.20070,0
1765584300000,90363.80,90397.80,90359.00,90383.80,87.959,1765584359999,7949230.69640,1580,52.328,4729094.23270,0
1765584360000,90383.80,90398.00,90360.20,90360.30,60.346,1765584419999,5454306.97240,1344,26.225,2370337.04300,0
1765584420000,90360.30,90360.30,90334.40,90334.40,18.590,1765584479999,1679595.01320,720,4.284,387049.61830,0
1765584480000,90334.50,90346.70,90330.40,90330.50,14.039,1765584539999,1268252.56190,615,3.776,341112.95500,0
1765584540000,90330.50,90362.50,90330.40,90362.40,20.306,1765584599999,1834518.46140,673,17.144,1548823.31220,0
1765584600000,90362.40,90371.50,90348.60,90348.70,13.393,1765584659999,1210142.02000,621,5.081,459107.30860,0
1765584660000,90348.60,90348.70,90348.60,90348.70,6.321,1765584719999,571093.70270,188,2.021,182594.72270,0
1765584720000,90348.60,90348.60,90340.40,90340.40,7.617,1765584779999,688162.68100,296,1.255,113380.91550,0
1765584780000,90340.40,90340.50,90327.00,90327.00,14.353,1765584839999,1296607.80770,356,1.405,126925.28030,0
1765584840000,90327.00,90327.10,90302.90,90302.90,18.744,1765584899999,1692860.02120,712,6.649,600497.79040,0
1765584900000,90302.90,90337.90,90302.90,90337.80,17.394,1765584959999,1571048.90990,737,14.930,1348489.53010,0
1765584960000,90337.90,90338.00,90333.50,90338.00,15.320,1765585019999,1383969.85670,366,8.167,737786.97220,0
1765585020000,90337.90,90342.60,90333.40,90342.50,7.745,1765585079999,699645.94010,320,2.767,249959.03590,0
1765585080000,90342.60,90359.30,90337.00,90337.10,19.638,1765585139999,1774231.64020,662,14.227,1285364.54060,0
1765585140000,90337.10,90366.00,90325.10,90325.40,37.893,1765585199999,3423616.09010,1040,7.010,633362.90290,0
1765585200000,90325.30,90325.40,90290.60,90290.60,21.858,1765585259999,1974066.29970,743,1.734,156597.60970,0
1765585260000,90290.60,90295.90,90277.00,90277.00,37.894,1765585319999,3421453.98730,793,7.779,702325.27420,0
1765585320000,90277.00,90319.00,90277.00,90319.00,15.045,1765585379999,1358451.33740,641,13.326,1203235.04880,0
1765585380000,90318.90,90318.90,90305.00,90309.10,15.570,1765585439999,1406075.29400,434,4.469,403573.93490,0
1765585440000,90309.10,90312.10,90308.80,90312.00,5.178,1765585499999,467622.82160,236,3.932,355096.25790,0
1765585500000,90312.00,90312.10,90288.00,90300.10,12.231,1765585559999,1104427.60490,600,3.553,320819.43670,0
1765585560000,90300.10,90300.10,90284.90,90284.90,6.143,1765585619999,554679.59470,245,0.884,79818.11590,0
1765585620000,90284.90,90285.00,90262.60,90262.70,10.919,1765585679999,985708.71710,394,3.892,351350.21760,0
1765585680000,90262.70,90268.00,90258.00,90259.30,16.521,1765585739999,1491201.31290,550,6.648,600048.36570,0
1765585740000,90259.20,90268.00,90258.00,90261.50,12.181,1765585799999,1099522.01020,451,3.513,317097.96150,0
1765585800000,90261.50,90271.70,90261.50,90271.60,14.233,1765585859999,1284799.52260,343,3.727,336423.68930,0
1765585860000,90271.70,90284.40,90260.30,90284.40,12.060,1765585919999,1088671.36000,606,4.732,427160.14490,0
1765585920000,90284.30,90284.40,90263.20,90263.20,13.533,1765585979999,1221676.32640,448,2.438,220104.01260,0
1765585980000,90263.30,90278.00,90263.20,90278.00,9.526,1765586039999,859903.53570,406,7.828,706623.34690,0
1765586040000,90278.00,90278.00,90268.90,90276.00,9.520,1765586099999,859387.20250,413,4.976,449190.08380,0
1765586100000,90276.00,90276.10,90265.60,90276.10,9.817,1765586159999,886193.29690,354,4.679,422369.98630,0
1765586160000,90276.10,90297.20,90276.00,90292.20,21.272,1765586219999,1920542.80740,616,17.417,1572491.19920,0
1765586220000,90292.20,90292.20,90279.80,90279.80,12.104,1765586279999,1092813.42260,289,8.855,799469.22750,0
1765586280000,90279.80,90279.90,90279.80,90279.80,3.758,1765586339999,339271.75260,181,2.642,238519.49580,0
1765586340000,90279.90,90279.90,90279.80,90279.80,3.269,1765586399999,295124.80010,170,1.339,120884.78610,0
1765586400000,90279.90,90282.00,90276.00,90282.00,75.749,1765586459999,6838359.65300,429,5.859,528942.69800,0
1765586460000,90282.00,90299.00,90281.90,90288.30,32.802,1765586519999,2961831.32490,670,20.224,1826100.25430,0
1765586520000,90288.20,90288.30,90280.50,90282.10,12.098,1765586579999,1092269.87780,377,3.669,331250.22300,0
