open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764720000000,91249.10,91334.00,91236.40,91334.00,113.879,1764720059999,10396540.86710,2857,74.988,6845606.51730,0
1764720060000,91333.90,91362.80,91298.50,91335.50,178.089,1764720119999,16265806.91260,4143,83.830,7656681.22370,0
1764720120000,91335.50,91335.50,91265.50,91283.80,66.712,1764720179999,6089923.21780,2085,42.014,3835129.17480,0
1764720180000,91283.90,91289.30,91230.00,91244.50,99.946,1764720239999,9119911.87190,2188,60.203,5493297.00790,0
1764720240000,91244.20,91244.20,91191.80,91199.00,88.303,1764720299999,8054958.19940,2573,41.108,3749943.98510,0
1764720300000,91199.00,91227.60,91162.70,91169.60,88.696,1764720359999,8088146.98290,2887,41.233,3760187.64990,0
1764720360000,91169.50,91218.50,91143.00,91208.10,110.190,1764720419999,10045402.26450,2918,56.998,5196185.32260,0
1764720420000,91208.10,91239.20,91175.90,91239.20,100.444,1764720479999,9159997.59710,2387,75.297,6866788.50830,0
1764720480000,91239.20,91300.00,91233.80,91262.60,73.211,1764720539999,6681708.75630,3198,39.931,3644262.64570,0
1764720540000,91262.70,91449.20,91256.30,91420.60,181.595,1764720599999,16595089.54570,4803,117.011,10691555.05060,0
1764720600000,91420.70,91499.90,91420.60,91461.90,164.591,1764720659999,15053779.29910,3291,100.708,9210647.49600,0
1764720660000,91461.90,91467.30,91349.20,91360.30,82.933,1764720719999,7579783.67700,2444,21.927,2004261.95570,0
1764720720000,91360.30,91393.10,91350.10,91374.50,62.500,1764720779999,5711070.08420,1797,36.031,3292340.24770,0
1764720780000,91374.50,91386.90,91308.90,91318.50,42.696,1764720839999,3900027.50900,1607,20.363,1859894.39840,0
1764720840000,91318.50,91318.50,91264.20,91273.20,37.618,1764720899999,3433972.16090,1816,11.868,1083335.62230,0
1764720900000,91273.10,91361.40,91257.30,91348.50,57.978,1764720959999,5294330.33230,2775,37.697,3442400.80060,0
1764720960000,91348.60,91394.60,91315.50,91392.60,57.775,1764721019999,5278568.32830,2309,46.509,4249312.34490,0
1764721020000,91392.60,91457.80,91300.50,91303.30,150.223,1764721079999,13729184.07220,4928,60.416,5521966.19580,0
1764721080000,91303.30,91388.60,91287.30,91356.10,63.682,1764721139999,5816462.96020,2735,43.540,3976520.05030,0
1764721140000,91356.20,91407.70,91321.60,91388.90,68.038,1764721199999,6216921.20270,2957,46.249,4225698.70600,0
1764721200000,91388.90,91415.50,91310.30,91343.20,43.391,1764721259999,3963978.31040,2620,25.474,2327166.16920,0
1764721260000,91343.20,91351.50,91300.30,91348.70,37.325,1764721319999,3408710.77450,1886,13.964,1275286.26170,0
1764721320000,91348.70,91361.30,91314.00,91361.30,25.418,1764721379999,2321590.09350,2015,12.398,1132370.48010,0
1764721380000,91361.40,91381.60,91317.10,91332.00,45.654,1764721439999,4170423.88720,1717,13.456,1229263.73350,0
1764721440000,91332.00,91351.10,91305.00,91318.90,37.771,1764721499999,3449482.08790,1520,18.983,1733680.54630,0
