open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1765152000000,90345.40,90364.50,90204.00,90225.50,254.334,1765152059999,22957281.48400,4867,136.026,12276625.60210,0
1765152060000,90225.40,90297.50,90171.60,90280.80,158.421,1765152119999,14292761.83790,3796,105.877,9552969.90340,0
1765152120000,90280.80,90280.90,90220.70,90241.10,78.063,1765152179999,7045332.16580,2260,36.173,3264613.06920,0
1765152180000,90241.10,90291.40,90233.20,90242.00,137.678,1765152239999,12427848.19920,3835,48.638,4390344.16650,0
1765152240000,90242.30,90354.80,90233.90,90325.30,171.040,1765152299999,15446866.86950,4926,90.821,8202282.29380,0
1765152300000,90325.30,90325.30,90231.50,90251.60,64.424,1765152359999,5816572.16300,2718,29.853,2695219.19690,0
1765152360000,90251.50,90251.60,90129.00,90157.30,95.809,1765152419999,8641074.52010,3064,32.208,2905110.58420,0
1765152420000,90157.20,90232.00,90157.20,90227.00,63.217,1765152479999,5702108.27060,1777,45.640,4116447.91820,0
1765152480000,90227.00,90238.50,90084.40,90084.40,126.837,1765152539999,11436606.38430,3829,28.706,2588800.44640,0
1765152540000,90084.40,90166.60,90081.50,90157.50,58.443,1765152599999,5267668.15780,2275,25.604,2307490.80780,0
1765152600000,90157.50,90157.60,90061.10,90083.80,102.545,1765152659999,9239430.94190,2697,35.098,3162070.03180,0
1765152660000,90083.80,90091.70,90039.60,90090.70,46.616,1765152719999,4198940.55690,1894,20.310,1829560.14570,0
1765152720000,90090.60,90109.80,90053.60,90088.30,38.890,1765152779999,3503524.37990,1956,24.369,2195386.69240,0
1765152780000,90088.40,90093.60,90022.10,90043.70,78.874,1765152839999,7102319.62730,2062,10.983,988990.81090,0
1765152840000,90044.20,90048.10,90004.00,90023.60,114.819,1765152899999,10336728.52090,2613,21.249,1913022.35240,0
1765152900000,90023.50,90074.70,90000.00,90049.30,92.797,1765152959999,8354455.73370,2878,29.962,2697967.04530,0
1765152960000,90049.20,90049.30,89980.10,90013.30,78.589,1765153019999,7074361.63210,2494,19.121,1721077.03840,0
1765153020000,90013.30,90100.00,90013.30,90100.00,54.125,1765153079999,4874056.54910,2079,42.016,3783715.01460,0
1765153080000,90100.00,90100.00,90000.90,90001.00,49.457,1765153139999,4454123.50780,2024,26.405,2378155.49560,0
1765153140000,90000.90,90009.10,89839.50,89859.30,221.538,1765153199999,19915272.87220,5543,34.904,3138426.51820,0
1765153200000,89859.30,89997.40,89806.40,89997.40,299.151,1765153259999,26884974.43290,5736,116.651,10486706.52450,0
1765153260000,89997.30,90036.10,89960.00,90033.90,81.556,1765153319999,7340194.26340,2703,60.863,5477877.51510,0
1765153320000,90033.90,90076.70,90012.00,90067.90,42.612,1765153379999,3836764.89280,2716,27.536,2479379.34730,0
1765153380000,90067.90,90253.00,90057.50,90244.40,130.242,1765153439999,11743287.45000,4512,90.418,8152426.13130,0
1765153440000,90244.40,90244.40,90170.70,90170.70,48.933,1765153499999,4413783.83460,2091,28.413,2562773.95850,0
1765153500000,90170.80,90249.90,90165.70,90248.10,31.584,1765153559999,2848832.90350,2304,21.764,1963127.27220,0
1765153560000,90248.00,90248.10,90163.20,90202.50,40.765,1765153619999,3676980.44540,2204,19.295,1740411.62140,0
1765153620000,90202.50,90222.80,90197.20,90222.80,21.669,1765153679999,1954724.36820,1546,9.625,868234.99530,0
1765153680000,90222.70,90222.80,90165.90,90173.50,71.467,1765153739999,6446344.26210,1955,19.814,1787144.85850,0
1765153740000,90173.60,90215.50,90155.10,90203.70,47.139,1765153799999,4251223.69270,1712,26.276,2369616.40590,0
1765153800000,90203.80,90203.80,90170.00,90192.20,19.794,1765153859999,1785039.30930,1445,9.298,838478.50720,0
1765153860000,90192.20,90260.80,90172.70,90221.40,40.427,1765153919999,3647224.29240,2086,22.654,2043775.47510,0
1765153920000,90221.40,90328.00,90214.00,90321.90,57.250,1765153979999,5169561.01740,2224,45.832,4138524.74480,0
1765153980000,90322.00,90350.00,90282.80,90327.50,66.264,1765154039999,5984591.39920,2239,39.640,3579886.08800,0
1765154040000,90327.50,90410.60,90321.00,90410.60,86.514,1765154099999,7818430.89080,3035,67.924,6138618.72300,0
1765154100000,90410.60,90572.20,90410.50,90546.40,382.979,1765154159999,34661319.71000,7597,286.086,25891036.60440,0
1765154160000,90546.30,90546.40,90387.30,90391.00,141.867,1765154219999,12829862.02510,3941,41.601,3762337.53350,0
1765154220000,90391.00,90419.00,90345.40,90378.30,106.559,1765154279999,9629926.61480,3156,43.968,3973835.44190,0
1765154280000,90378.30,90433.40,90346.50,90418.60,71.484,1765154339999,6461712.18740,2382,48.277,4364128.07300,0
1765154340000,90418.60,90450.00,90384.10,90414.30,60.711,1765154399999,5489353.23190,2174,28.787,2602712.57330,0
1765154400000,90414.30,90428.80,90365.00,90412.70,79.228,1765154459999,7162185.30230,2861,49.650,4488342.87800,0
1765154460000,90412.70,90412.70,90336.30,90345.90,30.379,1765154519999,2745153.91970,1420,9.867,891472.89780,0
1765154520000,90346.00,90371.20,90341.50,90371.20,30.589,1765154579999,2763798.05600,1280,9.595,866948.77680,0
1765154580000,90371.10,90371.10,90311.70,90311.70,35.643,1765154639999,3220364.92190,1667,6.527,589708.40110,0
1765154640000,90311.60,90311.60,90256.00,90267.80,67.471,1765154699999,6091119.20450,2231,17.569,1586060.84280,0
1765154700000,90267.90,90288.00,90205.80,90205.90,77.332,1765154759999,6979219.10830,2561,20.579,1857061.38300,0
1765154760000,90205.90,90282.90,90168.50,90256.80,107.648,1765154819999,9711303.66960,3033,40.470,3651678.28990,0
1765154820000,90256.80,90279.90,90229.70,90244.10,43.913,1765154879999,3963261.13390,1903,26.106,2355980.10720,0
1765154880000,90243.70,90303.00,90233.40,90303.00,25.437,1765154939999,2296250.06800,1188,18.863,1702976.26620,0
1765154940000,90303.00,90340.80,90277.50,90336.00,29.920,1765154999999,2702214.77280,1778,19.253,1738890.27140,0
1765155000000,90336.00,90351.00,90310.70,90334.70,21.113,1765155059999,1907084.35660,1540,13.874,1253195.99570,0
1765155060000,90334.80,90334.80,90274.80,90291.10,24.022,1765155119999,2169285.63840,1654,6.807,614682.36260,0
1765155120000,90291.20,90322.70,90257.80,90286.00,28.135,1765155179999,2540331.53760,1665,12.010,1084413.73960,0
1765155180000,90286.10,90325.90,90286.10,90325.90,20.765,1765155239999,1875191.39100,1260,12.950,1169457.12080,0
1765155240000,90325.80,90383.10,90315.00,90354.10,62.446,1765155299999,5642240.32840,2398,45.407,4102565.26450,0
1765155300000,90354.10,90392.50,90317.30,90380.40,103.307,1765155359999,9333696.77440,2842,58.627,5296944.55450,0
1765155360000,90380.20,90384.30,90342.70,90384.20,37.834,1765155419999,3418822.24290,1521,20.325,1836632.91250,0
1765155420000,90384.30,90420.00,90384.20,90405.10,43.368,1765155479999,3920896.80000,1180,17.088,1544811.13650,0
1765155480000,90405.00,90405.10,90331.60,90331.60,38.929,1765155539999,3517974.01360,1357,14.856,1342522.04740,0
1765155540000,90331.60,90357.80,90301.20,90302.70,31.376,1765155599999,2834350.34770,1424,8.148,736041.83270,0
1765155600000,90302.60,90312.40,90255.80,90295.40,66.390,1765155659999,5993657.80600,2393,22.451,2026797.65100,0
1765155660000,90295.40,90314.40,90270.10,90309.40,27.932,1765155719999,2521901.93200,1630,15.360,1386756.36650,0
1765155720000,90309.40,90351.90,90309.30,90347.30,30.524,1765155779999,2757223.14110,1537,19.969,1803829.56730,0
1765155780000,90347.40,90460.70,90347.40,90424.30,99.732,1765155839999,9018662.91180,2721,74.931,6775778.43390,0
1765155840000,90424.30,90424.30,90340.80,90340.80,78.961,1765155899999,7136323.24830,2376,17.773,1606515.57990,0
1765155900000,90340.80,90431.10,90322.60,90427.60,41.509,1765155959999,3751883.59950,1957,35.025,3165840.81980,0
1765155960000,90427.50,90497.30,90427.50,90491.10,62.503,1765156019999,5653858.12780,2033,44.708,4043949.66840,0
1765156020000,90491.10,90574.60,90474.70,90494.60,141.970,1765156079999,12852235.21570,5117,90.762,8217165.43980,0
1765156080000,90494.60,90542.70,90491.40,90507.00,77.003,1765156139999,6970052.72100,2460,52.595,4760577.87440,0
1765156140000,90506.90,90631.10,90506.90,90631.10,126.090,1765156199999,11423176.58610,4344,87.315,7910179.67170,0
1765156200000,90631.00,90656.60,90600.90,90612.00,144.669,1765156259999,13111607.98130,3303,76.186,6904868.75210,0
1765156260000,90612.00,90736.20,90611.90,90672.50,167.448,1765156319999,15185570.43670,4745,131.096,11889290.71320,0
1765156320000,90672.50,90723.50,90659.90,90700.00,68.658,1765156379999,6226203.05520,2641,34.060,3088720.25100,0
1765156380000,90700.00,90700.00,90600.80,90611.50,73.265,1765156439999,6641866.35740,2632,22.370,2027805.96760,0
1765156440000,90611.50,90639.80,90578.00,90630.00,65.801,1765156499999,5961656.88100,2233,34.090,3088812.81960,0
1765156500000,90630.00,90630.00,90576.90,90597.80,101.433,1765156559999,9188653.51510,2617,47.651,4316489.70590,0
1765156560000,90597.80,90629.70,90527.30,90563.20,82.767,1765156619999,7497003.17760,2719,29.016,2628224.18490,0
1765156620000,90563.20,90613.30,90563.20,90598.60,30.338,1765156679999,2748148.94970,1744,20.339,1842353.41220,0
1765156680000,90598.70,90743.40,90592.10,90721.60,69.115,1765156739999,6267886.62170,3246,52.292,4742014.56730,0
1765156740000,90721.60,90727.30,90644.60,90664.80,69.652,1765156799999,6317727.86970,2512,20.707,1878290.81760,0
1765156800000,90664.90,90726.60,90655.50,90726.60,37.297,1765156859999,3382693.68190,1594,28.298,2566587.27380,0
1765156860000,90726.60,90726.60,90619.00,90620.50,71.407,1765156919999,6474221.84290,2881,32.285,2926979.18650,0
1765156920000,90620.40,90728.00,90613.40,90727.90,32.721,1765156979999,2966822.00410,1833,22.263,2018728.84280,0
1765156980000,90728.00,90738.00,90714.80,90726.50,46.635,1765157039999,4231014.41270,1578,32.129,2914916.17980,0
1765157040000,90726.50,90756.90,90726.50,90745.00,43.504,1765157099999,3947644.63560,1704,25.543,2317800.82550,0
1765157100000,90745.10,90866.10,90745.00,90838.60,167.784,1765157159999,15235271.17510,3779,125.432,11389434.21830,0
1765157160000,90838.60,90968.30,90819.00,90961.60,241.223,1765157219999,21926035.48970,6026,176.284,16023589.88020,0
1765157220000,90961.60,90961.60,90915.00,90915.00,92.879,1765157279999,8446064.48290,2432,33.568,3052578.57620,0
1765157280000,90915.10,91192.50,90915.00,91182.90,481.491,1765157339999,43853922.64800,11160,341.725,31122887.60690,0
1765157340000,91182.90,91222.90,91084.70,91091.00,245.552,1765157399999,22381510.20560,6676,98.022,8935966.38460,0
1765157400000,91091.00,91225.10,91091.00,91212.10,237.049,1765157459999,21615088.94150,7059,128.276,11695951.22460,0
1765157460000,91212.30,91273.90,91190.80,91250.10,210.044,1765157519999,19162597.40820,5527,128.794,11749714.37360,0
1765157520000,91250.10,91458.50,91230.50,91424.70,700.118,1765157579999,63972048.97800,13666,496.556,45371596.04520,0
1765157580000,91424.60,91461.00,91370.40,91461.00,265.101,1765157639999,24235660.68990,6493,135.629,12399517.43750,0
1765157640000,91461.00,91461.00,91300.00,91309.60,146.607,1765157699999,13397929.55940,5790,40.418,3693693.61000,0
1765157700000,91309.60,91400.10,91308.10,91394.20,108.376,1765157759999,9903277.36000,4893,32.841,3000795.27520,0
1765157760000,91394.20,91460.00,91352.90,91397.70,111.728,1765157819999,10213561.03140,4602,49.164,4494271.99120,0
1765157820000,91397.70,91397.70,91286.40,91351.70,120.099,1765157879999,10968758.49000,5578,35.862,3275264.90100,0
1765157880000,91351.70,91555.20,91351.70,91537.80,228.374,1765157939999,20896357.99250,7510,153.963,14088118.41850,0
1765157940000,91537.70,91650.00,91537.70,91586.80,386.591,1765157999999,35416069.15280,8120,188.940,17308791.07280,0
1765158000000,91586.80,91647.50,91503.20,91503.20,188.420,1765158059999,17254373.48810,6571,61.534,5634644.51760,0
1765158060000,91503.20,91517.40,91415.60,91436.90,113.665,1765158119999,10395868.41150,4645,45.228,4136360.00170,0
1765158120000,91436.90,91449.90,91321.60,91321.60,166.956,1765158179999,15256850.68610,5169,54.603,4990131.78310,0
1765158180000,91321.60,91378.80,91195.80,91268.80,426.898,1765158239999,38954945.83340,6919,101.798,9289219.02440,0
1765158240000,91268.90,91268.90,91166.20,91214.60,191.070,1765158299999,17427254.14630,4016,80.069,7302669.80350,0
1765158300000,91214.50,91232.10,91150.00,91171.70,161.930,1765158359999,14765066.21560,5367,53.079,4839942.46360,0
1765158360000,91171.70,91196.70,91146.90,91152.60,102.394,1765158419999,9335251.71690,3085,39.613,3611585.15300,0
1765158420000,91152.50,91152.60,90982.00,91059.00,282.171,1765158479999,25689059.27270,6600,109.811,9995846.44800,0
1765158480000,91059.00,91070.80,90969.90,90992.80,131.716,1765158539999,11988909.88830,3668,55.620,5062617.43240,0
1765158540000,90992.90,91113.30,90977.40,91070.90,103.631,1765158599999,9435766.01700,3579,58.821,5355691.51470,0
1765158600000,91070.90,91078.50,91028.70,91035.30,88.911,1765158659999,8095949.81530,2556,23.526,2142244.43440,0
1765158660000,91035.30,91111.40,91028.60,91088.00,59.294,1765158719999,5400164.10430,1915,37.343,3400938.47460,0
1765158720000,91087.90,91100.00,91022.90,91054.20,78.792,1765158779999,7174699.24620,2816,37.996,3459647.17320,0
1765158780000,91054.20,91087.20,90999.10,91042.90,55.838,1765158839999,5083891.58320,2635,24.987,2275208.29620,0
1765158840000,91043.00,91100.00,91043.00,91059.60,44.883,1765158899999,4087528.18050,2405,31.893,2904470.73640,0
1765158900000,91059.70,91093.50,91025.80,91033.10,82.395,1765158959999,7502781.58860,3320,33.669,3065620.13640,0
1765158960000,91033.00,91033.10,90908.40,90908.40,137.233,1765159019999,12483376.95900,4519,37.508,3411979.72530,0
1765159020000,90908.50,90908.50,90771.30,90789.20,312.555,1765159079999,28387551.81500,7942,99.060,8997449.69570,0
1765159080000,90789.30,90888.60,90784.80,90888.60,117.362,1765159139999,10659012.22500,3372,76.501,6947838.51130,0
1765159140000,90888.60,90907.20,90855.70,90869.10,64.931,1765159199999,5901210.44360,1824,33.970,3087455.10260,0
1765159200000,90869.00,90886.00,90737.50,90765.80,158.928,1765159259999,14429559.28480,4763,50.254,4563033.01530,0
1765159260000,90765.90,90876.40,90765.80,90816.10,93.203,1765159319999,8465713.79100,3257,58.106,5277579.12490,0
1765159320000,90816.00,90887.90,90804.50,90872.90,82.390,1765159379999,7484921.90800,3408,58.509,5315364.93900,0
1765159380000,90873.00,90956.40,90872.80,90950.40,118.360,1765159439999,10761914.44680,3718,87.418,7948447.98290,0
1765159440000,90950.40,90953.40,90841.30,90841.30,61.597,1765159499999,5598879.74320,2640,19.421,1765498.89580,0
1765159500000,90841.30,90841.30,90789.30,90805.80,56.651,1765159559999,5144502.03700,2708,21.183,1923538.14370,0
1765159560000,90805.70,90841.30,90779.30,90826.00,58.569,1765159619999,5318339.19760,2419,39.334,3571619.55950,0
1765159620000,90825.90,90847.80,90790.20,90825.90,40.344,1765159679999,3664254.60500,2456,15.187,1379347.97350,0
1765159680000,90825.90,90957.90,90825.90,90944.70,79.425,1765159739999,7220163.32920,3626,55.965,5087853.17510,0
1765159740000,90944.80,90964.60,90825.80,90825.90,63.664,1765159799999,5787097.21920,2828,37.755,3432154.30120,0
1765159800000,90825.80,90931.60,90772.10,90889.00,93.946,1765159859999,8534915.36020,3950,66.369,6029738.04780,0
1765159860000,90889.00,90999.20,90874.90,90928.50,97.242,1765159919999,8845195.47520,3419,46.506,4229999.21900,0
1765159920000,90928.40,90954.50,90905.00,90915.30,53.590,1765159979999,4873061.60780,2191,26.232,2385319.10680,0
1765159980000,90915.40,90923.30,90879.60,90894.90,77.616,1765160039999,7055727.42390,2264,50.931,4630020.64820,0
1765160040000,90894.90,90911.70,90856.20,90911.60,42.795,1765160099999,3888973.73670,1919,25.541,2321087.51880,0
1765160100000,90911.60,90930.00,90866.70,90926.10,27.034,1765160159999,2457426.41630,2242,14.893,1353823.29900,0
1765160160000,90926.10,90939.80,90915.20,90939.80,22.430,1765160219999,2039463.60100,1352,11.699,1063737.16700,0
1765160220000,90939.80,91023.20,90933.40,91008.00,89.667,1765160279999,8158364.10950,2424,64.334,5853781.35220,0
1765160280000,91008.00,91065.40,91008.00,91033.70,86.896,1765160339999,7911527.58230,2463,43.601,3969553.52920,0
1765160340000,91033.60,91033.70,90960.90,91004.20,54.850,1765160399999,4990893.39450,2782,32.672,2972794.66700,0
1765160400000,91004.20,91004.20,90927.00,90940.50,30.520,1765160459999,2775871.92110,1669,8.845,804422.02780,0
1765160460000,90940.40,90974.60,90940.40,90971.00,20.077,1765160519999,1826170.34090,1369,12.606,1146581.63960,0
1765160520000,90971.00,91037.30,90950.70,91021.80,46.034,1765160579999,4188912.31090,2426,29.917,2722197.84130,0
1765160580000,91021.80,91029.20,90971.80,90971.80,29.077,1765160639999,2646108.16090,1752,15.807,1438494.84980,0
1765160640000,90971.80,91011.60,90960.30,91011.60,36.100,1765160699999,3284518.32070,1474,17.414,1584409.47210,0
1765160700000,91011.90,91030.00,90992.00,91004.50,34.857,1765160759999,3172445.58440,1707,16.203,1474659.30370,0
1765160760000,91004.60,91035.10,90988.80,91004.60,31.030,1765160819999,2824130.04230,1744,16.725,1522181.69740,0
1765160820000,91004.70,91042.20,91000.00,91000.10,31.671,1765160879999,2882727.09160,1484,19.380,1764017.57580,0
1765160880000,91000.00,91010.00,90970.00,91004.20,36.345,1765160939999,3306921.95690,1209,19.083,1736336.53010,0
1765160940000,91004.20,91004.20,90976.80,90979.50,16.682,1765160999999,1517920.55690,929,6.568,597611.84870,0
1765161000000,90979.40,91000.00,90947.70,90947.70,26.194,1765161059999,2382914.14010,1230,11.575,1053074.42300,0
1765161060000,90947.70,91137.80,90927.90,91093.70,197.953,1765161119999,18017736.13250,5162,159.042,14474489.42660,0
1765161120000,91093.60,91093.70,91004.60,91004.60,48.668,1765161179999,4431546.22810,2188,15.703,1429818.38540,0
1765161180000,91004.60,91032.00,90984.50,90984.70,56.664,1765161239999,5156445.48500,1990,8.222,748219.06610,0
1765161240000,90984.60,91025.10,90979.40,90990.20,23.151,1765161299999,2106970.38760,1456,9.069,825373.07070,0
1765161300000,90990.10,90990.10,90922.10,90929.60,47.731,1765161359999,4341041.51670,1922,10.936,994573.35550,0
1765161360000,90929.50,91121.20,90922.50,91101.90,217.373,1765161419999,19795328.84070,5872,174.505,15891363.90910,0
1765161420000,91101.90,91195.20,91101.80,91150.00,124.903,1765161479999,11386423.70970,3733,77.150,7032421.42770,0
1765161480000,91150.00,91150.00,91051.70,91095.00,141.628,1765161539999,12900768.89180,3712,89.234,8127871.91500,0
1765161540000,91095.00,91183.30,91095.00,91171.20,104.909,1765161599999,9561713.91520,3032,82.699,7537381.58850,0
1765161600000,91171.10,91185.20,91136.00,91170.80,105.046,1765161659999,9576153.58540,2367,62.451,5693064.22970,0
1765161660000,91170.80,91178.40,91090.80,91130.30,81.612,1765161719999,7437802.38330,2878,56.056,5108684.44750,0
1765161720000,91130.30,91186.20,91096.10,91109.70,67.452,1765161779999,6147724.16210,2967,38.274,3488366.50820,0
1765161780000,91110.10,91139.00,91075.50,91120.50,45.929,1765161839999,4184806.95870,2124,31.039,2828013.46260,0
1765161840000,91120.50,91185.50,91113.90,91168.00,25.259,1765161899999,2302586.50720,1205,17.573,1601929.98980,0
1765161900000,91167.90,91213.60,91159.20,91188.60,48.680,1765161959999,4439023.17550,2382,32.544,2967552.27120,0
1765161960000,91188.50,91220.90,91184.70,91201.40,55.920,1765162019999,5099998.87570,2225,41.534,3787944.56210,0
1765162020000,91201.40,91224.40,91139.80,91139.90,161.649,1765162079999,14740346.97410,3219,58.066,5295555.69690,0
1765162080000,91139.80,91170.00,91082.60,91095.80,117.602,1765162139999,10717775.91280,2365,29.456,2684485.78610,0
1765162140000,91095.80,91117.10,91039.80,91113.30,125.101,1765162199999,11394400.67710,3428,93.212,8489977.75840,0
1765162200000,91113.30,91190.30,91111.20,91174.20,98.711,1765162259999,8997795.41760,2327,81.184,7399934.42150,0
1765162260000,91173.70,91208.90,91149.50,91204.10,122.051,1765162319999,11129500.56510,2937,93.150,8493931.38990,0
1765162320000,91203.80,91257.60,91203.70,91257.60,137.079,1765162379999,12506408.78810,3174,104.093,9496569.50370,0
1765162380000,91257.60,91259.80,91213.10,91251.80,192.621,1765162439999,17575973.23250,4260,120.828,11024731.08900,0
1765162440000,91251.80,91313.60,91245.60,91308.50,101.249,1765162499999,9241422.78310,2685,69.893,6379533.92060,0
1765162500000,91308.50,91399.80,91308.40,91380.40,174.271,1765162559999,15919893.28820,5017,106.049,9687961.97240,0
1765162560000,91380.30,91415.60,91370.70,91414.90,131.036,1765162619999,11976527.05910,3039,89.871,8214097.37170,0
1765162620000,91414.90,91414.90,91365.30,91365.30,58.377,1765162679999,5334894.36520,1729,22.760,2079962.75980,0
1765162680000,91365.40,91396.30,91365.30,91377.00,43.325,1765162739999,3958997.50490,1517,29.845,2727189.85030,0
1765162740000,91377.10,91377.10,91319.10,91327.00,54.725,1765162799999,4998383.74940,1580,18.577,1696646.97330,0
1765162800000,91327.00,91377.00,91300.00,91377.00,82.937,1765162859999,7575187.07200,3050,39.099,3571208.64170,0
1765162860000,91377.00,91383.00,91280.00,91286.40,66.255,1765162919999,6049494.51250,2647,16.364,1494265.76690,0
1765162920000,91286.50,91298.40,91187.50,91187.50,79.696,1765162979999,7272322.33540,2744,17.595,1605700.30350,0
1765162980000,91187.50,91203.00,91169.50,91200.20,50.827,1765163039999,4634624.47110,1947,22.629,2063473.27850,0
