open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1765756800000,877.600,878.370,877.400,878.370,640.03,1765756859999,561786.87270,1505,413.24,362722.32200,0
1765756860000,878.370,881.430,878.370,880.260,2238.45,1765756919999,1970252.48800,3453,1466.51,1290776.04120,0
1765756920000,880.250,880.550,879.210,879.620,667.32,1765756979999,587129.37500,1571,352.02,309723.14910,0
1765756980000,879.650,879.650,878.370,878.930,633.85,1765757039999,557026.34930,1485,199.92,175715.80510,0
1765757040000,878.930,879.130,878.000,878.280,213.83,1765757099999,187861.98860,982,63.50,55785.91270,0
1765757100000,878.280,878.430,877.740,878.390,197.16,1765757159999,173103.53120,935,60.68,53279.77650,0
1765757160000,878.390,879.060,878.390,878.980,258.79,1765757219999,227418.77390,1072,104.68,91982.98200,0
1765757220000,878.980,879.090,878.610,878.930,252.31,1765757279999,221739.25960,905,123.46,108496.30010,0
1765757280000,878.920,879.100,878.870,879.010,143.94,1765757339999,126525.79060,685,66.93,58832.62420,0
1765757340000,879.010,879.010,877.980,878.100,259.87,1765757399999,228253.20500,830,107.64,94530.72250,0
1765757400000,878.100,878.140,877.840,877.980,210.27,1765757459999,184616.05030,813,74.12,65074.87110,0
1765757460000,877.980,877.990,876.900,877.500,370.22,1765757519999,324866.49700,1270,92.30,80960.89720,0
1765757520000,877.490,877.490,876.650,876.650,212.07,1765757579999,185962.17350,1001,81.98,71880.94590,0
1765757580000,876.650,877.080,876.550,876.880,565.54,1765757639999,495914.22840,1008,272.61,239038.71020,0
1765757640000,876.880,877.410,876.880,877.310,371.78,1765757699999,326117.84650,911,243.65,213733.17300,0
1765757700000,877.300,877.760,877.080,877.710,277.43,1765757759999,243474.35240,1129,112.28,98532.71390,0
1765757760000,877.710,878.080,876.910,876.910,309.61,1765757819999,271706.15490,941,199.04,174673.62850,0
1765757820000,876.910,879.030,876.740,878.960,298.09,1765757879999,261623.32760,1267,206.08,180870.90130,0
1765757880000,878.950,879.320,878.410,879.320,355.99,1765757939999,312877.38680,1268,176.58,155205.24690,0
1765757940000,879.320,880.890,879.240,880.300,692.32,1765757999999,609465.05280,1700,433.58,381648.82140,0
1765758000000,880.300,880.400,879.500,879.780,279.99,1765758059999,246400.13880,968,63.31,55708.36810,0
1765758060000,879.780,881.130,879.660,881.050,461.21,1765758119999,406140.05130,1249,197.23,173669.25150,0
1765758120000,881.050,881.640,880.880,881.600,683.20,1765758179999,602109.67400,1438,394.18,347388.28810,0
1765758180000,881.600,882.250,881.060,882.010,725.61,1765758239999,639847.61170,1779,516.10,455114.77750,0
1765758240000,882.010,882.790,881.840,882.540,428.28,1765758299999,377939.93370,1108,238.90,210801.49640,0
1765758300000,882.560,883.160,881.200,881.200,1930.02,1765758359999,1702607.70800,2336,431.95,381089.43600,0
1765758360000,881.200,882.120,881.060,881.640,277.67,1765758419999,244772.05080,987,183.37,161630.18150,0
1765758420000,881.640,882.120,881.610,881.890,404.48,1765758479999,356675.31000,973,284.20,250594.99010,0
