open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1765152000000,894.810,894.820,893.750,894.170,439.74,1765152059999,393250.26570,1185,266.24,238093.08750,0
1765152060000,894.160,894.320,893.490,894.200,542.30,1765152119999,484740.28810,1042,168.58,150670.99110,0
1765152120000,894.200,894.850,893.990,894.760,188.54,1765152179999,168613.77630,801,137.86,123280.17300,0
1765152180000,894.760,894.920,894.440,894.790,387.22,1765152239999,346436.41980,1015,165.12,147728.21810,0
1765152240000,894.790,896.100,894.790,895.850,620.05,1765152299999,555405.57630,1530,394.83,353655.21560,0
1765152300000,895.840,896.050,895.560,895.740,1296.99,1765152359999,1161905.80880,976,258.23,231315.54220,0
1765152360000,895.730,895.740,894.230,894.360,1096.03,1765152419999,981349.08040,994,66.54,59545.16220,0
1765152420000,894.370,895.380,894.360,895.250,356.51,1765152479999,319023.75570,804,242.81,217246.56290,0
1765152480000,895.250,895.380,894.050,894.060,517.53,1765152539999,463014.53640,1095,70.88,63434.67970,0
1765152540000,894.050,894.820,894.050,894.810,138.14,1765152599999,123574.67000,681,76.43,68366.40860,0
1765152600000,894.810,894.820,894.260,894.290,407.69,1765152659999,364651.65040,806,50.03,44743.65270,0
1765152660000,894.300,894.300,893.660,894.000,236.05,1765152719999,211034.53590,911,128.21,114617.82780,0
1765152720000,894.010,894.270,893.790,894.010,145.12,1765152779999,129746.29340,608,66.13,59122.99340,0
1765152780000,894.010,894.120,893.560,893.670,147.76,1765152839999,132074.06380,689,58.08,51913.28930,0
1765152840000,893.660,893.940,893.410,893.880,257.32,1765152899999,229932.52600,693,136.15,121651.01480,0
1765152900000,893.890,894.720,893.780,894.090,426.14,1765152959999,381131.75380,1091,172.74,154481.25120,0
1765152960000,894.100,894.100,893.240,893.730,220.66,1765153019999,197166.11040,894,92.34,82504.18710,0
1765153020000,893.730,894.260,893.730,894.260,148.35,1765153079999,132628.73230,730,110.27,98583.06940,0
1765153080000,894.250,894.260,892.960,892.960,275.54,1765153139999,246231.57480,847,64.12,57285.99580,0
1765153140000,892.950,892.950,892.020,892.030,326.44,1765153199999,291332.11500,1034,72.42,64628.69200,0
1765153200000,892.040,892.800,891.660,892.800,332.05,1765153259999,296241.51650,1131,145.66,129976.46360,0
1765153260000,892.800,893.050,892.240,893.040,251.37,1765153319999,224402.70800,806,88.38,78895.64340,0
1765153320000,893.030,893.940,892.860,893.890,190.12,1765153379999,169825.83310,794,143.50,128182.29540,0
1765153380000,893.890,895.460,893.640,895.460,363.62,1765153439999,325249.47640,1277,240.96,215543.29770,0
1765153440000,895.460,895.560,894.830,895.230,280.04,1765153499999,250670.48730,755,75.24,67350.66890,0
1765153500000,895.240,896.590,895.190,896.390,475.08,1765153559999,425657.67420,1225,339.64,304311.08760,0
1765153560000,896.380,896.380,895.500,895.770,190.53,1765153619999,170720.60620,660,90.74,81296.55290,0
1765153620000,895.770,896.040,895.630,896.030,282.27,1765153679999,252847.79600,641,86.02,77052.38430,0
1765153680000,896.030,896.590,895.910,896.430,444.24,1765153739999,398167.82940,928,264.87,237382.91070,0
1765153740000,896.420,896.920,896.420,896.420,462.05,1765153799999,414312.39040,864,390.53,350191.92950,0
1765153800000,896.430,896.630,896.200,896.390,331.39,1765153859999,297064.24850,800,214.96,192692.70980,0
1765153860000,896.390,896.600,895.900,896.130,178.46,1765153919999,159942.04020,726,87.06,78025.02880,0
1765153920000,896.120,897.380,896.030,897.020,373.04,1765153979999,334603.95220,1163,212.98,191010.51700,0
1765153980000,897.010,897.540,896.650,897.380,466.49,1765154039999,418613.94170,900,123.44,110744.59260,0
1765154040000,897.380,898.120,897.030,898.120,677.27,1765154099999,608061.24420,1191,596.80,535824.98990,0
