open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1766534400000,844.290,844.700,844.290,844.520,1464.53,1766534459999,1236617.93530,813,1087.57,918259.29560,0
1766534460000,844.520,845.140,844.520,845.130,212.03,1766534519999,179122.84010,498,183.83,155296.57950,0
1766534520000,845.130,845.140,844.630,844.790,210.36,1766534579999,177713.19480,456,110.96,93725.22410,0
1766534580000,844.780,845.470,844.680,844.740,453.51,1766534639999,383264.96270,925,135.41,114442.62380,0
1766534640000,844.750,844.750,844.470,844.470,287.24,1766534699999,242623.79930,433,44.44,37538.95560,0
1766534700000,844.470,844.540,844.200,844.200,290.17,1766534759999,245012.44460,503,71.39,60280.50320,0
1766534760000,844.200,845.200,844.200,845.190,377.63,1766534819999,319034.79410,839,127.69,107852.13750,0
1766534820000,845.190,845.200,844.530,844.530,224.69,1766534879999,189819.30120,457,57.27,48377.83160,0
1766534880000,844.530,844.890,844.530,844.790,133.02,1766534939999,112361.98520,339,77.20,65209.37840,0
1766534940000,844.800,845.040,844.710,844.710,138.05,1766534999999,116643.49880,310,67.71,57208.79610,0
1766535000000,844.700,844.750,844.490,844.490,82.66,1766535059999,69822.90540,279,27.53,23255.88990,0
1766535060000,844.490,844.500,844.000,844.170,210.12,1766535119999,177390.56950,507,83.89,70813.08090,0
1766535120000,844.160,844.170,843.910,843.940,173.83,1766535179999,146731.40220,321,65.50,55288.91540,0
1766535180000,843.940,844.250,843.920,844.230,196.38,1766535239999,165762.89520,406,66.31,55972.36480,0
1766535240000,844.230,844.240,844.030,844.230,96.63,1766535299999,81570.59010,227,14.96,12628.32270,0
1766535300000,844.230,844.350,844.170,844.350,250.08,1766535359999,211122.84850,326,132.77,112085.59010,0
1766535360000,844.340,844.570,844.330,844.570,83.72,1766535419999,70692.30760,255,50.64,42760.62380,0
1766535420000,844.570,845.020,844.570,844.830,134.93,1766535479999,113992.90840,345,24.81,20957.56490,0
1766535480000,844.840,844.910,844.520,844.530,61.29,1766535539999,51775.34140,198,12.68,10712.25530,0
1766535540000,844.530,844.530,843.900,844.240,267.32,1766535599999,225659.51010,415,46.86,39550.60570,0
1766535600000,844.230,844.290,843.860,844.030,247.14,1766535659999,208585.71490,399,142.56,120315.42500,0
1766535660000,844.040,844.080,843.690,843.950,400.73,1766535719999,338148.98210,500,303.50,256093.13900,0
1766535720000,843.950,843.950,843.690,843.950,147.78,1766535779999,124696.26890,341,40.47,34148.22990,0
1766535780000,843.950,844.160,843.950,844.160,38.04,1766535839999,32106.73070,259,26.68,22518.99310,0
1766535840000,844.160,844.680,844.150,844.680,118.63,1766535899999,100162.15630,408,58.83,49672.34520,0
1766535900000,844.680,844.690,844.480,844.480,102.98,1766535959999,86980.51920,282,19.64,16587.76200,0
1766535960000,844.480,844.490,844.270,844.270,90.87,1766536019999,76736.96890,292,11.74,9914.31050,0
1766536020000,844.270,844.420,844.270,844.410,82.28,1766536079999,69470.67390,275,59.36,50117.41110,0
1766536080000,844.410,844.450,844.310,844.320,70.36,1766536139999,59413.40150,276,13.91,11745.38500,0
1766536140000,844.310,844.580,844.310,844.580,52.41,1766536199999,44260.43370,228,20.39,17217.65110,0
1766536200000,844.570,844.580,843.940,844.030,151.83,1766536259999,128190.65570,433,65.21,55044.18820,0
1766536260000,844.030,844.440,844.030,844.440,51.11,1766536319999,43146.12140,318,33.40,28196.45250,0
1766536320000,844.430,844.530,844.430,844.530,40.54,1766536379999,34234.55290,228,30.20,25502.94690,0
1766536380000,844.520,844.890,844.520,844.610,206.57,1766536439999,174510.81850,412,51.45,43459.65140,0
1766536440000,844.610,845.110,844.610,845.050,381.39,1766536499999,322224.96580,461,187.13,158096.92720,0
1766536500000,845.040,845.290,844.900,844.990,161.80,1766536559999,136752.44100,505,67.53,57075.12180,0
1766536560000,844.990,845.280,844.990,845.280,48.62,1766536619999,41088.22380,320,20.50,17323.76430,0
1766536620000,845.270,845.810,845.270,845.790,240.06,1766536679999,203007.94850,621,125.39,106034.55980,0
1766536680000,845.790,845.970,845.540,845.540,118.75,1766536739999,100448.30470,482,45.30,38319.61080,0
1766536740000,845.540,845.640,845.250,845.370,54.91,1766536799999,46427.36620,384,12.93,10932.56880,0
1766536800000,845.370,845.430,845.200,845.220,75.98,1766536859999,64228.25810,447,15.84,13390.27210,0
1766536860000,845.220,845.340,845.220,845.230,68.83,1766536919999,58182.03130,366,26.86,22704.65850,0
1766536920000,845.220,845.480,845.220,845.480,102.89,1766536979999,86970.08330,366,35.48,29991.13520,0
1766536980000,845.480,845.730,845.480,845.490,71.20,1766537039999,60206.31780,308,29.71,25121.16610,0
1766537040000,845.490,845.720,845.490,845.720,51.65,1766537099999,43670.90640,224,45.20,38217.44310,0
1766537100000,845.710,846.220,845.710,846.210,275.36,1766537159999,232954.47950,620,174.37,147515.74540,0
1766537160000,846.210,846.410,845.720,845.900,211.45,1766537219999,178905.91370,611,133.56,112999.48370,0
1766537220000,845.910,846.150,845.770,845.840,128.01,1766537279999,108290.69080,405,13.93,11784.89910,0
1766537280000,845.830,845.910,845.660,845.680,105.19,1766537339999,88969.15380,323,32.26,27285.35310,0
1766537340000,845.680,845.750,845.620,845.620,60.81,1766537399999,51428.83150,291,9.63,8144.49970,0
1766537400000,845.610,845.940,845.510,845.750,169.51,1766537459999,143365.27220,547,102.02,86286.98470,0
1766537460000,845.740,845.750,845.640,845.720,101.99,1766537519999,86251.69590,318,73.10,61818.58330,0
1766537520000,845.710,845.930,845.710,845.810,87.67,1766537579999,74156.20300,355,24.17,20443.16060,0
