open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764720000000,877.180,878.230,877.130,878.100,573.80,1764720059999,503652.86180,975,274.07,240520.33320,0
1764720060000,878.090,878.740,877.840,878.730,661.24,1764720119999,580787.52760,1168,189.23,166210.41680,0
1764720120000,878.730,878.740,877.830,877.850,456.85,1764720179999,401175.80390,856,100.79,88492.13280,0
1764720180000,877.840,877.960,877.040,877.180,727.54,1764720239999,638320.59760,1123,90.19,79142.47610,0
1764720240000,877.180,877.240,876.310,876.320,1060.78,1764720299999,930267.61990,954,123.08,107943.99670,0
1764720300000,876.320,876.360,875.570,875.970,1141.78,1764720359999,1000097.99260,1418,247.08,216401.75420,0
1764720360000,875.980,876.320,875.760,876.310,620.49,1764720419999,543527.53210,814,345.93,303020.42290,0
1764720420000,876.320,876.580,875.850,876.580,363.60,1764720479999,318590.03460,660,153.25,134273.54230,0
1764720480000,876.570,877.490,876.560,877.200,218.74,1764720539999,191835.48970,768,113.63,99650.05180,0
1764720540000,877.200,879.250,877.150,879.000,627.88,1764720599999,551720.32300,1154,405.26,356094.39110,0
1764720600000,879.000,879.430,878.850,878.920,344.87,1764720659999,303165.78520,820,184.15,161875.57890,0
1764720660000,878.910,879.200,878.550,878.930,181.42,1764720719999,159440.09210,683,93.71,82353.97720,0
1764720720000,878.940,879.050,878.270,878.330,338.79,1764720779999,297715.11390,564,92.52,81301.19320,0
1764720780000,878.330,878.570,878.060,878.110,201.77,1764720839999,177219.24550,554,119.50,104960.70050,0
1764720840000,878.110,878.110,877.500,877.760,182.88,1764720899999,160536.81400,650,74.57,65453.33140,0
1764720900000,877.750,878.640,877.580,878.640,306.70,1764720959999,269353.46320,804,183.49,161132.96470,0
1764720960000,878.640,878.940,878.280,878.700,268.16,1764721019999,235619.91400,724,152.51,134004.22380,0
1764721020000,878.690,878.900,877.080,877.160,288.05,1764721079999,253020.87540,856,204.62,179770.99910,0
1764721080000,877.150,877.800,877.070,877.600,234.77,1764721139999,206009.91700,747,120.00,105288.70070,0
1764721140000,877.600,877.920,877.250,877.620,211.66,1764721199999,185773.86750,712,123.69,108563.31040,0
1764721200000,877.620,877.960,876.610,876.990,294.04,1764721259999,257948.36070,880,116.01,101776.78610,0
1764721260000,876.990,877.460,876.800,877.330,136.17,1764721319999,119437.41700,684,85.12,74660.45610,0
1764721320000,877.330,877.390,876.890,877.350,154.47,1764721379999,135484.96380,504,42.95,37672.71690,0
1764721380000,877.360,877.530,876.520,876.720,133.49,1764721439999,117079.26380,550,64.50,56582.29700,0
1764721440000,876.720,876.950,876.340,876.910,170.02,1764721499999,149037.24470,600,80.56,70620.45940,0
1764721500000,876.910,876.960,876.110,876.110,159.88,1764721559999,140145.97430,520,51.68,45308.80420,0
1764721560000,876.110,876.110,875.410,875.590,520.44,1764721619999,455706.13370,878,73.45,64313.27320,0
1764721620000,875.600,876.000,875.430,875.760,259.73,1764721679999,227434.48510,772,90.60,79339.23840,0
1764721680000,875.760,875.770,874.880,875.000,998.88,1764721739999,874128.32700,1084,248.02,217022.33450,0
1764721740000,875.010,875.240,874.640,875.190,604.98,1764721799999,529315.03780,673,281.07,245899.89640,0
1764721800000,875.200,875.200,874.700,874.840,284.83,1764721859999,249185.30780,622,144.13,126087.81710,0
1764721860000,874.840,875.190,874.190,874.410,650.53,1764721919999,568998.19360,1074,155.53,136057.91520,0
1764721920000,874.410,874.480,874.190,874.330,327.86,1764721979999,286658.64330,772,128.03,111936.78710,0
1764721980000,874.320,874.560,874.000,874.550,504.52,1764722039999,441031.22330,950,235.25,205652.86130,0
1764722040000,874.560,875.250,874.490,874.490,279.25,1764722099999,244285.94620,828,209.50,183265.12720,0
1764722100000,874.500,875.050,874.320,874.510,347.66,1764722159999,304076.48410,891,111.44,97466.64020,0
1764722160000,874.510,874.810,874.210,874.280,234.80,1764722219999,205328.46390,684,148.14,129542.40440,0
1764722220000,874.280,874.860,874.210,874.860,239.85,1764722279999,209725.84160,664,167.88,146793.05130,0
1764722280000,874.850,875.130,874.500,874.780,535.58,1764722339999,468539.84580,878,217.26,190053.02030,0
1764722340000,874.780,874.970,874.530,874.800,249.98,1764722399999,218697.66180,625,202.64,177284.13150,0
1764722400000,874.800,875.500,874.590,875.120,270.13,1764722459999,236422.29220,747,227.50,199115.83710,0
1764722460000,875.130,875.890,875.120,875.890,215.83,1764722519999,188968.00280,505,212.98,186472.97440,0
1764722520000,875.890,877.740,875.740,877.530,897.55,1764722579999,786997.82230,1341,763.62,669612.43630,0
1764722580000,877.530,877.840,877.080,877.080,356.12,1764722639999,312451.62820,827,274.30,240662.54360,0
