open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1765843200000,2963.25,2963.47,2960.53,2961.26,1574.663,1765843259999,4664287.75977,4544,603.953,1788884.48418,0
1765843260000,2961.26,2961.36,2958.91,2960.30,1068.120,1765843319999,3161928.77342,3372,324.158,959504.64399,0
1765843320000,2960.31,2963.53,2960.31,2963.53,2249.365,1765843379999,6661786.14779,3777,1617.296,4789960.58785,0
1765843380000,2963.53,2964.60,2962.21,2964.60,1344.938,1765843439999,3985353.19757,3673,556.848,1650150.11264,0
1765843440000,2964.60,2965.80,2961.81,2964.90,1646.446,1765843499999,4880627.25906,4526,913.442,2707808.15149,0
1765843500000,2964.90,2967.20,2964.56,2965.01,2383.556,1765843559999,7069593.70337,5067,1360.651,4035790.78957,0
1765843560000,2965.02,2968.11,2963.43,2968.11,2363.078,1765843619999,7008232.90044,4677,1788.364,5303996.64655,0
1765843620000,2968.11,2971.51,2967.83,2969.60,12573.480,1765843679999,37341670.19080,9144,9326.837,27699448.76737,0
1765843680000,2969.60,2972.46,2969.60,2971.28,4633.023,1765843739999,13766297.35586,6577,3141.530,9334502.46508,0
1765843740000,2971.28,2973.06,2968.71,2969.39,5316.453,1765843799999,15795642.94975,4868,1870.620,5558853.62295,0
1765843800000,2969.40,2969.78,2966.69,2966.69,3143.874,1765843859999,9331808.12226,3810,709.218,2105138.29095,0
1765843860000,2966.70,2970.55,2966.51,2970.50,3829.270,1765843919999,11366494.64883,4671,2715.929,8062311.73443,0
1765843920000,2970.50,2970.50,2969.01,2969.01,1636.239,1765843979999,4859225.73346,2246,573.129,1702094.87640,0
1765843980000,2969.01,2969.02,2967.00,2967.00,1619.970,1765844039999,4808363.50150,2332,399.143,1184731.57017,0
1765844040000,2967.01,2968.29,2967.00,2968.04,1056.566,1765844099999,3135344.04448,2024,514.120,1525618.59627,0
1765844100000,2968.05,2968.27,2961.91,2962.54,2169.147,1765844159999,6430277.63175,4963,489.225,1449987.88020,0
1765844160000,2962.53,2969.88,2961.17,2969.22,5514.777,1765844219999,16360819.50383,9051,3446.786,10223743.51156,0
1765844220000,2969.22,2969.56,2967.39,2967.40,839.808,1765844279999,2492958.31691,2347,328.265,974492.80363,0
1765844280000,2967.39,2969.98,2966.25,2969.47,1151.047,1765844339999,3416291.82753,3670,740.675,2198631.19918,0
1765844340000,2969.47,2971.43,2969.47,2970.41,1035.121,1765844399999,3074863.49590,2634,610.098,1812189.75031,0
1765844400000,2970.42,2974.96,2970.41,2973.60,2987.791,1765844459999,8883650.81147,4920,2424.426,7208551.23210,0
1765844460000,2973.59,2975.00,2972.17,2973.18,2205.087,1765844519999,6558120.86664,4430,1693.203,5035864.68289,0
1765844520000,2973.18,2973.61,2972.17,2972.51,706.628,1765844579999,2100666.83359,2172,374.074,1112030.99669,0
1765844580000,2972.50,2975.00,2972.39,2974.26,1042.772,1765844639999,3100906.45754,2821,629.122,1870897.67821,0
1765844640000,2974.27,2976.00,2973.55,2974.41,3340.699,1765844699999,9938168.30560,5326,2260.355,6724201.63972,0
1765844700000,2974.41,2976.94,2974.41,2975.37,2012.875,1765844759999,5989991.63965,4297,1177.795,3504934.96962,0
1765844760000,2975.37,2975.94,2972.55,2972.82,1600.419,1765844819999,4759615.32797,4213,346.559,1030648.25465,0
1765844820000,2972.82,2974.02,2972.80,2972.88,1563.154,1765844879999,4647724.69649,3408,757.771,2253001.26841,0
1765844880000,2972.88,2974.56,2972.88,2973.15,934.977,1765844939999,2780382.82701,2413,354.930,1055459.50675,0
1765844940000,2973.14,2973.24,2971.77,2972.40,1246.741,1765844999999,3705763.81104,1806,232.733,691792.02144,0
1765845000000,2972.40,2972.65,2969.32,2969.32,1474.412,1765845059999,4380472.39214,4001,352.876,1048473.57138,0
1765845060000,2969.31,2969.40,2966.00,2966.00,2229.962,1765845119999,6616092.44286,5592,694.281,2059771.76587,0
1765845120000,2966.01,2967.60,2965.99,2966.95,1052.628,1765845179999,3122699.28796,2806,637.189,1890308.91918,0
1765845180000,2966.93,2966.93,2964.00,2965.40,1556.535,1765845239999,4615602.67820,3161,431.718,1280187.31896,0
1765845240000,2965.41,2965.90,2964.34,2964.55,1177.364,1765845299999,3490880.61632,2940,522.244,1548460.69936,0
1765845300000,2964.55,2964.93,2962.23,2963.66,2061.027,1765845359999,6108454.83071,3922,724.743,2148219.43818,0
1765845360000,2963.67,2964.21,2961.96,2962.51,1108.074,1765845419999,3283423.56242,3037,335.908,995328.62225,0
1765845420000,2962.51,2963.50,2959.30,2961.24,4480.019,1765845479999,13265024.00730,6561,2415.280,7151968.70305,0
1765845480000,2961.24,2961.32,2954.84,2956.72,6215.625,1765845539999,18380843.86354,8269,1505.789,4452825.63947,0
1765845540000,2956.72,2961.00,2955.29,2960.83,5307.440,1765845599999,15701457.73895,6372,4202.262,12431924.38294,0
1765845600000,2960.83,2960.88,2958.90,2959.73,1318.306,1765845659999,3901625.01613,2574,472.717,1398962.15318,0
1765845660000,2959.73,2960.00,2958.18,2958.33,1152.593,1765845719999,3410394.31993,2061,434.078,1284351.41628,0
1765845720000,2958.34,2960.63,2957.49,2960.45,2338.622,1765845779999,6920616.15031,3648,1477.276,4371915.17822,0
1765845780000,2960.45,2961.86,2960.25,2961.23,1258.200,1765845839999,3725692.96010,2056,620.160,1836327.51191,0
1765845840000,2961.24,2961.99,2960.89,2960.89,597.582,1765845899999,1769705.29084,1444,320.665,949671.16683,0
1765845900000,2960.90,2962.07,2959.27,2959.27,1914.527,1765845959999,5669013.11928,3294,1152.699,3413394.43127,0
1765845960000,2959.27,2959.28,2953.58,2953.91,2534.093,1765846019999,7493005.33768,4788,459.146,1357702.39687,0
1765846020000,2953.91,2958.76,2953.52,2958.19,4438.253,1765846079999,13121775.42895,6924,2639.226,7803905.36033,0
1765846080000,2958.16,2959.62,2957.50,2957.70,2225.573,1765846139999,6584554.38315,3294,1430.621,4232790.28841,0
1765846140000,2957.70,2959.89,2956.46,2956.50,3078.441,1765846199999,9107525.48348,5532,1588.422,4699526.41033,0
1765846200000,2956.51,2956.51,2952.08,2955.09,3330.728,1765846259999,9838356.75200,6565,1786.611,5277782.27913,0
1765846260000,2955.10,2955.56,2949.84,2951.14,3342.223,1765846319999,9865640.34490,7647,779.305,2300583.77390,0
1765846320000,2951.13,2954.19,2950.17,2951.28,3119.041,1765846379999,9208899.50339,6291,1917.135,5660545.81837,0
1765846380000,2951.29,2955.04,2951.01,2953.38,2209.800,1765846439999,6526235.83827,4813,1635.125,4829344.83712,0
1765846440000,2953.37,2955.81,2953.00,2953.84,2171.475,1765846499999,6415418.44803,3714,1404.964,4150718.30300,0
1765846500000,2953.84,2953.89,2948.48,2949.17,2591.099,1765846559999,7644160.61104,4895,549.654,1621380.65429,0
1765846560000,2949.17,2949.18,2945.00,2946.13,10194.079,1765846619999,30038033.41899,11825,3754.055,11062009.45661,0
